City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,ingeniero jacobacci,-41.3427,-69.5448,15.3,43,0,2.38,AR,1703401516
294,bamboo flat,11.7,92.7167,29.05,70,40,4.63,IN,1703401517
295,christchurch,-43.5333,172.6333,24.15,70,100,4.63,NZ,1703401085
296,yoloten,37.2989,62.3597,22.51,27,0,14.55,TM,1703401171
297,ancud,-41.8697,-73.8203,8.29,90,1,0.88,CL,1703401199
298,kingston,17.997,-76.7936,25.53,82,20,3.09,JM,1703401290
299,codrington,-38.2667,141.9667,15.85,78,100,8.3,AU,1703401169
300,maitum,6.0392,124.4986,29.37,73,77,2.44,PH,1703401518
301,harstad,68.799,16.5293,-1.58,76,100,2.08,NO,1703401394
302,huilong,31.8111,121.655,4.54,40,0,5.67,CN,1703401519
303,road town,18.4167,-64.6167,25.76,71,13,1.0,VG,1703401137
304,new norfolk,-42.7826,147.0587,18.72,73,100,1.73,AU,1703401146
305,kavali,14.9167,79.9833,26.99,63,51,4.92,IN,1703401519
306,castillos,-34.1667,-53.8333,16.35,91,100,1.67,UY,1703401520
307,san martin,-33.081,-68.4681,22.43,70,21,3.56,AR,1703401520
308,carpentersville,42.1211,-88.2579,10.23,93,100,1.54,US,1703401521
309,igarka,67.4667,86.5833,-20.89,100,85,1.89,RU,1703401521
310,makarov,48.6333,142.8,-12.67,73,2,2.67,RU,1703401521
311,sisimiut,66.9395,-53.6735,-12.49,80,100,3.03,GL,1703401249
312,armacao de buzios,-22.7469,-41.8817,24.03,93,100,1.2,BR,1703401522
313,lajere,11.9797,11.4443,18.01,27,4,4.43,NG,1703401522
314,craig,40.5153,-107.5464,-5.03,86,100,4.12,US,1703401522
315,nizhnesortymskiy,62.4397,71.7603,-3.1,96,100,7.18,RU,1703401523
316,tindouf,27.6711,-8.1474,8.25,42,0,2.57,DZ,1703401523
317,isla mujeres,21.2311,-86.731,24.03,66,33,6.21,MX,1703401524
318,borzya,50.3833,116.5167,-21.64,97,14,0.7,RU,1703401524
